Question ID,Total Answers
9126000,2
9126010,1
9126060,4
9126090,2
9126120,2
9126180,1
9126260,1
9126320,1
9126330,1
9126340,1
9126360,1
9126390,4
9126410,1
9126440,1
9126470,2
9126510,1
9126530,4
9126550,1
9126580,5
9126600,1
9126630,3
9126660,3
9126680,2
9126690,1
9126780,2
9126810,5
9126840,4
9126880,2
9126890,1
9126920,1
9126970,2
9127040,3
9127050,1
9127120,1
9127130,3
9127150,1
9127160,2
9127230,2
9127250,1
9127300,2
9127320,1
9127350,1
9127410,3
9127460,2
9127470,3
9127500,1
9127530,1
9127590,1
9127600,3
9127630,3
9127640,1
9127790,2
9127800,1
9127810,3
9127880,2
9127940,2
9127960,1
9127980,1
9128020,1
9128040,2
9128050,1
9128150,1
9128160,1
9128170,2
9128260,2
9128280,2
9128290,2
9128320,3
9128330,3
9128340,1
9128450,2
9128460,1
9128530,1
9128580,1
9128630,1
9128650,1
9128670,1
9128680,2
9128700,10
9128720,1
9128760,1
9128780,2
9128820,2
9128830,3
9128890,1
9128910,5
9128940,1
9129000,1
9129070,3
9129090,7
9129130,2
9129150,1
9129170,1
9129220,1
9129260,1
9129310,3
9129320,2
9129340,1
9129370,1
9129390,3
9129400,1
9129460,5
9129500,1
9129520,1
9129540,2
9129560,2
9129650,2
9129670,2
9129690,3
9129700,1
9129730,1
9129750,1
9129790,1
9129800,1
9129850,1
9129860,1
9129880,2
9129940,2
9129950,1
9129980,1
9130010,1
9130030,3
9130070,1
9130080,4
9130090,2
9130110,5
9130130,4
9130200,4
9130250,2
9130260,1
9130350,1
9130370,1
9130390,1
9130410,2
9130430,1
9130450,1
9130480,1
9130490,1
9130550,2
9130570,2
9130590,2
9130620,3
9130630,1
9130660,2
9130730,2
9130920,3
9130950,2
9131010,3
9131030,2
9131060,1
9131090,3
9131280,1
9131320,1
9131400,2
9131410,1
9131420,1
9131440,1
9131470,1
9131520,3
9131600,2
9131630,1
9131640,2
9131710,1
9131730,1
9131760,2
9131770,3
9131790,1
9131820,1
9131830,3
9131840,2
9131860,1
9131890,2
9132010,1
9132020,3
9132110,1
9132130,1
9132150,3
9132200,2
9132250,1
9132280,1
9132330,1
9132360,2
9132400,1
9132430,1
9132440,1
9132540,1
9132550,2
9132630,1
9132660,2
9132670,1
9132720,3
9132780,1
9132800,2
9132820,1
9132860,3
9132900,1
9132930,2
9132940,1
9132960,4
9133010,2
9133060,1
9133120,9
9133130,3
9133150,1
9133170,6
9133200,2
9133210,2
9133220,4
9133240,2
9133250,1
9133290,2
9133320,1
9133350,1
9133360,2
9133390,1
9133410,3
9133480,1
9133500,6
9133570,3
9133610,3
9133620,2
9133700,4
9133730,4
9133870,7
9133880,1
9134060,3
9134070,1
9134130,2
9134140,2
9134160,1
9134170,3
9134200,2
9134210,5
9134230,4
9134240,1
9134250,1
9134260,2
9134280,3
9134300,1
9134310,2
9134320,3
9134350,2
9134360,2
9134380,2
9134420,5
9134490,1
9134520,3
9134550,6
9134620,2
9134650,5
9134710,2
9134720,2
9134740,1
9134790,1
9134800,1
9134890,2
9134930,1
9134940,1
9135000,1
9135070,2
9135110,3
9135120,1
9135140,1
9135160,1
9135200,2
9135210,2
9135230,1
9135250,1
9135260,6
9135270,1
9135290,4
9135300,1
9135330,1
9135340,1
9135380,2
9135480,1
9135510,1
9135540,1
9135550,1
9135560,1
9135570,4
9135580,1
9135610,1
9135620,1
9135640,1
9135660,1
9135680,1
9135700,2
9135720,1
9135730,4
9135740,3
9135790,1
9135920,1
9135930,1
9135950,2
9136000,3
9136040,2
9136070,3
9136100,1
9136170,1
9136250,2
9136310,1
9136350,2
9136360,1
9136490,2
9136510,4
9136520,1
9136610,1
9136620,3
9136740,1
9136790,2
9136860,5
9136880,4
9136890,1
9136910,1
9136940,2
9137010,3
9137060,1
9137090,4
9137140,1
9137190,1
9137210,1
9137290,3
9137350,1
9137360,1
9137370,1
9137410,1
9137480,2
9137490,3
9137500,8
9137540,2
9137610,1
9137630,2
9137640,3
9137660,3
9137710,1
9137750,5
9137780,5
9137820,1
9137880,3
9137910,2
9137920,5
9138010,1
9138040,1
9138130,2
9138150,2
9138170,1
9138220,1
9138260,6
9138290,1
9138300,1
9138310,6
9138330,4
9138340,1
9138490,2
9138540,2
9138550,1
9138660,1
9138700,4
9138720,1
9138730,1
9138760,3
9138770,1
9138790,2
9138820,3
9138880,3
9138900,2
9138950,1
9138960,3
9138980,1
9139050,2
9139080,2
9139100,1
9139110,1
9139140,1
9139190,2
9139260,2
9139300,3
9139370,1
9139390,1
9139470,4
9139480,2
9139510,7
9139560,1
9139650,2
9139660,1
9139730,2
9139740,2
9139750,3
9139780,1
9139810,1
9139860,1
9139870,2
9139890,1
9139900,2
9139910,2
9139930,3
9139940,2
9139980,1
9140030,2
9140050,6
9140110,1
9140120,1
9140200,1
9140280,3
9140290,3
9140320,4
9140330,4
9140350,1
9140450,3
9140540,1
9140630,2
9140660,1
9140690,1
9140710,1
9140750,3
9140770,4
9140780,3
9140800,3
9140860,2
9140870,1
9140880,4
9140890,2
9140930,2
9140970,1
9141020,1
9141040,2
9141060,2
9141070,1
9141130,1
9141210,1
9141220,1
9141240,1
9141250,6
9141260,3
9141270,1
9141300,4
9141340,1
9141440,1
9141450,4
9141460,1
9141540,6
9141620,2
9141700,2
9141710,1
9141730,1
9141740,1
9141750,1
9141760,1
9141790,1
9141800,2
9141820,1
9141830,5
9141860,1
9141900,1
9141940,3
9141950,5
9141960,2
9141970,4
9141980,3
9142050,4
9142210,1
9142230,1
9142260,1
9142290,3
9142300,1
9142310,1
9142330,2
9142360,1
9142370,2
9142420,1
9142440,1
9142450,2
9142490,5
9142500,1
9142520,1
9142590,2
9142640,1
9142690,1
9142710,2
9142720,2
9142730,1
9142750,1
9142800,1
9142820,2
9142830,1
9142860,1
9142930,1
9142990,3
9143010,2
9143020,2
9143030,3
9143050,1
9143080,2
9143150,4
9143180,1
9143190,2
9143210,1
9143250,2
9143260,3
9143270,2
9143310,2
9143320,1
9143420,4
9143440,2
9143450,1
9143460,1
9143530,2
9143540,1
9143560,1
9143570,1
9143610,1
9143620,1
9143630,1
9143670,1
9143680,3
9143800,2
9143820,1
9143870,4
9143880,1
9143940,1
9144020,2
9144050,1
9144060,2
9144090,2
9144100,3
9144130,1
9144160,2
9144210,1
9144250,3
9144310,1
9144350,5
9144360,1
9144370,1
9144410,2
9144470,1
9144490,7
9144500,2
9144560,8
9144610,1
9144630,1
9144640,4
9144670,2
9144700,2
9144800,5
9144910,1
9144930,1
9144990,2
9145000,1
9145020,2
9145030,3
9145160,1
9145220,2
9145230,1
9145290,1
9145320,2
9145330,1
9145390,1
9145420,1
9145480,2
9145510,1
9145520,1
9145560,4
9145580,2
9145600,1
9145660,1
9145680,8
9145700,2
9145740,1
9145760,4
9145820,1
9145840,2
9145880,1
9145900,4
9145920,1
9145950,1
9145980,1
9145990,4
9146000,1
9146010,2
9146030,6
9146100,5
9146130,2
9146140,1
9146180,1
9146220,1
9146250,1
9146270,2
9146320,3
9146340,1
9146350,1
9146360,1
9146380,1
9146400,2
9146460,6
9146480,2
9146500,3
9146520,7
9146530,2
9146540,1
9146580,1
9146600,1
9146610,1
9146660,1
9146670,4
9146680,2
9146770,1
9146790,2
9146800,2
9146820,2
9146840,1
9146880,2
9146890,1
9146920,2
9146960,2
9146980,3
9147000,1
9147050,2
9147060,1
9147080,2
9147090,1
9147110,1
9147120,2
9147140,1
9147160,1
9147180,1
9147260,1
9147270,5
9147290,2
9147310,2
9147320,1
9147340,1
9147360,2
9147380,2
9147400,2
9147420,2
9147430,2
9147440,3
9147520,2
9147600,1
9147610,3
9147650,2
9147680,1
9147710,2
9147750,3
9147760,2
9147830,2
9147840,1
9147850,1
9147910,4
9148000,2
9148010,2
9148060,1
9148110,3
9148120,1
9148220,2
9148270,2
9148290,1
9148310,3
9148320,2
9148390,2
9148400,3
9148480,2
9148490,2
9148500,1
9148510,1
9148600,2
9148610,1
9148640,2
9148650,1
9148670,4
9148700,1
9148790,1
9148800,3
9148850,1
9148860,1
9148890,4
9148940,2
9148980,1
9149000,2
9149030,2
9149070,1
9149120,2
9149180,1
9149280,1
9149330,2
9149340,2
9149350,2
9149380,2
9149390,1
9149430,1
9149540,1
9149550,1
9149600,1
9149630,4
9149670,1
9149710,1
9149790,1
9149850,3
9149890,4
9149950,4
9149980,1
9150010,3
9150030,1
9150050,2
9150090,2
9150130,1
9150190,1
9150200,1
9150230,1
9150310,1
9150350,1
9150370,2
9150440,1
9150470,1
9150530,4
9150540,1
9150570,1
9150610,2
9150620,1
9150680,1
9150700,1
9150730,1
9150800,1
9150820,2
9150830,1
9150850,1
9150900,3
9150920,3
9150930,1
9150990,4
9151030,1
9151050,1
9151060,1
9151070,1
9151160,2
9151180,3
9151190,1
9151200,1
9151230,1
9151280,1
9151290,1
9151340,1
9151360,1
9151460,2
9151520,1
9151560,4
9151630,2
9151650,1
9151690,2
9151710,8
9151730,3
9151760,2
9151800,1
9151840,1
9151870,1
9151920,1
9151930,1
9151940,3
9151970,1
9151990,1
9152000,3
9152020,1
9152030,1
9152090,1
9152110,1
9152130,2
9152190,2
9152280,2
9152350,4
9152370,1
9152390,2
9152470,2
9152480,1
9152490,2
9152500,7
9152520,1
9152530,1
9152570,1
9152580,3
9152590,2
9152600,2
9152670,3
9152700,3
9152810,3
9152820,1
9152840,2
9152850,3
9152890,4
9152960,1
9153040,1
9153060,1
9153070,1
9153090,1
9153120,2
9153140,2
9153170,1
9153190,2
9153210,5
9153290,2
9153320,4
9153340,2
9153360,3
9153470,2
9153540,1
9153600,1
9153650,5
9153790,1
9153840,1
9153890,1
9153940,1
9153950,1
9153980,2
9154000,1
9154020,2
9154030,6
9154060,1
9154070,3
9154080,1
9154090,1
9154110,1
9154120,3
9154130,1
9154200,4
9154220,2
9154270,3
9154320,1
9154330,1
9154360,1
9154370,5
9154410,1
9154460,1
9154490,2
9154550,3
9154560,2
9154630,1
9154650,1
9154680,1
9154710,1
9154720,2
9154740,3
9154790,3
9154800,3
9154910,1
9154930,3
9154980,2
9155000,1
9155040,3
9155060,1
9155070,1
9155090,1
9155150,1
9155160,1
9155180,2
9155190,1
9155200,2
9155210,1
9155230,2
9155240,2
9155310,1
9155330,1
9155350,1
9155390,2
9155400,3
9155430,2
9155440,3
9155510,1
9155520,4
9155590,4
9155640,3
9155660,1
9155670,1
9155680,1
9155730,1
9155750,1
9155780,2
9155790,2
9155800,1
9155840,2
9155890,3
9155900,1
9155920,1
9155960,2
9155970,2
9155980,2
9156040,1
9156080,1
9156100,1
9156110,2
9156170,3
9156250,1
9156290,3
9156310,2
9156340,8
9156390,4
9156430,2
9156490,2
9156530,1
9156540,1
9156550,1
9156590,1
9156600,2
9156620,2
9156650,1
9156700,1
9156750,1
9156790,2
9156800,2
9156820,8
9156840,1
9156860,1
9156940,1
9156980,2
9157000,3
9157010,2
9157020,1
9157030,1
9157040,1
9157080,1
9157190,2
9157210,8
9157220,1
9157240,1
9157260,1
9157310,3
9157340,1
9157390,3
9157400,1
9157450,3
9157470,1
9157480,2
9157490,3
9157500,2
9157510,1
9157610,2
9157620,1
9157630,1
9157660,2
9157700,5
9157710,1
9157720,2
9157730,1
9157860,1
9157900,1
9157910,2
9157980,4
9158030,3
9158050,1
9158110,1
9158140,1
9158150,1
9158160,1
9158180,2
9158200,1
9158240,1
9158310,1
9158320,1
9158340,1
9158390,4
9158440,1
9158500,2
9158510,1
9158550,2
9158560,1
9158570,2
9158580,2
9158600,1
9158710,1
9158740,1
9158760,1
9158790,1
9158800,1
9158810,1
9158830,1
9158840,4
9158880,1
9158970,2
9159000,2
9159040,1
9159050,1
9159080,1
9159100,2
9159130,1
9159140,1
9159190,1
9159200,2
9159240,1
9159350,1
9159360,1
9159380,3
9159430,1
9159440,3
9159480,1
9159500,3
9159510,4
9159520,1
9159530,1
9159770,1
9159790,1
9159820,3
9159920,1
9159960,3
9159970,4
9160050,2
9160060,3
9160110,1
9160210,1
9160230,1
9160240,3
9160270,2
9160290,3
9160310,1
9160360,1
9160420,1
9160450,1
9160460,1
9160540,2
9160560,3
9160570,2
9160610,3
9160620,1
9160630,1
9160640,1
9160660,4
9160710,3
9160740,1
9160760,1
9160790,4
9160830,1
9160840,1
9160870,1
9160890,1
9161000,1
9161010,2
9161040,1
9161070,2
9161110,2
9161140,4
9161220,3
9161260,1
9161330,2
9161370,3
9161390,1
9161410,1
9161420,1
9161430,3
9161510,2
9161530,1
9161570,1
9161580,3
9161600,1
9161660,1
9161770,3
9161820,1
9161890,2
9161910,2
9161930,3
9161940,1
9161980,1
9162000,1
9162030,3
9162040,4
9162050,2
9162060,3
9162100,6
9162170,4
9162200,6
9162240,1
9162270,1
9162280,1
9162290,2
9162300,1
9162330,2
9162340,2
9162430,1
9162450,2
9162500,2
9162510,1
9162520,1
9162540,1
9162550,2
9162560,1
9162590,3
9162660,1
9162690,2
9162760,2
9162770,2
9162830,1
9162840,1
9162890,3
9162910,1
9162940,1
9162970,1
9163040,1
9163070,2
9163220,1
9163240,4
9163260,2
9163270,1
9163290,3
9163370,4
9163390,3
9163430,1
9163470,4
9163490,2
9163560,3
9163570,2
9163630,2
9163640,2
9163660,1
9163700,2
9163710,2
9163720,2
9163760,2
9163770,2
9163810,1
9163820,2
9163860,3
9163890,1
9163940,1
9163950,3
9163960,1
9163980,1
9163990,1
9164050,2
9164100,1
9164110,1
9164160,1
9164180,1
9164190,1
9164200,1
9164220,1
9164250,1
9164260,1
9164300,1
9164380,2
9164440,1
9164450,1
9164470,1
9164530,2
9164550,1
9164610,2
9164660,1
9164680,3
9164730,1
9164740,3
9164820,2
9164830,3
9164850,5
9164860,2
